datetime,daily_SSC_Load,daily_count,site_no
2008-10-01 00:00:00-05:00,,0,01576516
2008-10-02 00:00:00-05:00,,0,01576516
2008-10-03 00:00:00-05:00,,0,01576516
2008-10-04 00:00:00-05:00,,0,01576516
2008-10-05 00:00:00-05:00,,0,01576516
2008-10-06 00:00:00-05:00,,0,01576516
2008-10-07 00:00:00-05:00,,0,01576516
2008-10-08 00:00:00-05:00,,0,01576516
2008-10-09 00:00:00-05:00,0.16399999999999998,26,01576516
2008-10-10 00:00:00-05:00,0.441,79,01576516
2008-10-11 00:00:00-05:00,0.354,64,01576516
2008-10-12 00:00:00-05:00,0.374,69,01576516
2008-10-13 00:00:00-05:00,0.392,72,01576516
2008-10-14 00:00:00-05:00,0.147,27,01576516
2008-10-15 00:00:00-05:00,,0,01576516
2008-10-16 00:00:00-05:00,,0,01576516
2008-10-17 00:00:00-05:00,,0,01576516
2008-10-18 00:00:00-05:00,,0,01576516
2008-10-19 00:00:00-05:00,,0,01576516
2008-10-20 00:00:00-05:00,,0,01576516
2008-10-21 00:00:00-05:00,,0,01576516
2008-10-22 00:00:00-05:00,,0,01576516
2008-10-23 00:00:00-05:00,,0,01576516
2008-10-24 00:00:00-05:00,0.00535,1,01576516
2008-10-25 00:00:00-05:00,1.58,66,01576516
2008-10-26 00:00:00-05:00,0.523,91,01576516
2008-10-27 00:00:00-05:00,0.48,94,01576516
2008-10-28 00:00:00-05:00,1.49,90,01576516
2008-10-29 00:00:00-05:00,,0,01576516
2008-10-30 00:00:00-05:00,0.40700000000000003,96,01576516
2008-10-31 00:00:00-05:00,0.4,96,01576516
2008-11-01 00:00:00-05:00,0.392,96,01576516
2008-11-02 00:00:00-05:00,0.385,96,01576516
2008-11-03 00:00:00-05:00,0.39,96,01576516
2008-11-04 00:00:00-05:00,0.38299999999999995,92,01576516
2008-11-05 00:00:00-05:00,0.429,95,01576516
2008-11-06 00:00:00-05:00,0.44299999999999995,96,01576516
2008-11-07 00:00:00-05:00,0.408,96,01576516
2008-11-08 00:00:00-05:00,0.363,95,01576516
2008-11-09 00:00:00-05:00,0.32,92,01576516
2008-11-10 00:00:00-05:00,0.27899999999999997,96,01576516
2008-11-11 00:00:00-05:00,0.299,96,01576516
2008-11-12 00:00:00-05:00,0.308,96,01576516
2008-11-13 00:00:00-05:00,0.799,96,01576516
2008-11-14 00:00:00-05:00,0.324,96,01576516
2008-11-15 00:00:00-05:00,3.52,96,01576516
2008-11-16 00:00:00-05:00,0.6829999999999999,96,01576516
2008-11-17 00:00:00-05:00,0.41200000000000003,96,01576516
2008-11-18 00:00:00-05:00,0.324,96,01576516
2008-11-19 00:00:00-05:00,0.292,96,01576516
2008-11-20 00:00:00-05:00,0.253,96,01576516
2008-11-21 00:00:00-05:00,0.28,96,01576516
2008-11-22 00:00:00-05:00,0.242,96,01576516
2008-11-23 00:00:00-05:00,0.228,96,01576516
2008-11-24 00:00:00-05:00,0.242,94,01576516
2008-11-25 00:00:00-05:00,0.39299999999999996,96,01576516
2008-11-26 00:00:00-05:00,0.531,93,01576516
2008-11-27 00:00:00-05:00,0.568,96,01576516
2008-11-28 00:00:00-05:00,0.605,94,01576516
2008-11-29 00:00:00-05:00,0.6809999999999999,95,01576516
2008-11-30 00:00:00-05:00,1.21,96,01576516
2008-12-01 00:00:00-05:00,0.5870000000000001,96,01576516
2008-12-02 00:00:00-05:00,0.316,95,01576516
