datetime,00010_Mean,hist_mean,hist_median,diff_hist_mean,diff_hist_median,comment,site_no
2012-10-28 00:00:00-05:00,14.5,12.2523,12.63,2.3,1.9,,15765185
2012-10-29 00:00:00-05:00,12.3,12.6017,12.035,-0.3,0.3,,15765185
2012-10-30 00:00:00-05:00,12.0,11.7283,11.84,0.3,0.2,,15765185
2012-10-31 00:00:00-05:00,11.5,11.9217,11.25,-0.5,0.2,,15765185
2012-11-01 00:00:00-05:00,11.0,11.4032,12.36,-0.4,-1.4,,15765185
2012-11-02 00:00:00-05:00,10.5,10.2462,10.54,0.3,0.0,,15765185
2012-11-03 00:00:00-05:00,9.9,10.3428,10.68,-0.5,-0.8,,15765185
2012-11-04 00:00:00-05:00,9.4,10.7424,11.07,-1.4,-1.7,,15765185
2012-11-05 00:00:00-05:00,9.0,11.4424,11.5,-2.5,-2.5,,15765185
2012-11-06 00:00:00-05:00,8.0,11.0668,9.772,-3.1,-1.8,,15765185
2012-11-07 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-11-08 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-11-09 00:00:00-05:00,7.9,8.289,7.935,-0.4,0.0,,15765185
2012-11-10 00:00:00-05:00,8.5,9.7386,9.557,-1.2,-1.0,,15765185
2012-11-11 00:00:00-05:00,9.8,10.1922,9.753,-0.4,0.0,,15765185
2012-11-12 00:00:00-05:00,11.7,9.0592,8.821,2.6,2.9,,15765185
2012-11-13 00:00:00-05:00,10.1,7.8004,6.721,2.3,3.4,,15765185
2012-11-14 00:00:00-05:00,8.7,6.7414,6.252999999999999,1.9,2.4,,15765185
2012-11-15 00:00:00-05:00,7.9,7.1002,7.867999999999999,0.8,0.0,,15765185
2012-11-16 00:00:00-05:00,8.0,8.595,8.033,-0.6,0.0,,15765185
2012-11-17 00:00:00-05:00,7.2,7.7208,7.244,-0.5,0.0,,15765185
2012-11-18 00:00:00-05:00,7.4,6.8116,7.555,0.6,-0.1,,15765185
2012-11-19 00:00:00-05:00,7.6,7.287999999999999,6.837999999999999,0.4,0.8,,15765185
2012-11-20 00:00:00-05:00,8.4,6.8388,7.374,1.6,1.0,,15765185
2012-11-21 00:00:00-05:00,7.8,6.5164,7.78,1.3,0.0,,15765185
2012-11-22 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-11-23 00:00:00-05:00,7.4,6.065,5.281000000000001,1.4,2.1,,15765185
2012-11-24 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-11-25 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-11-26 00:00:00-05:00,4.9,6.1442,6.18,-1.3,-1.3,,15765185
2012-11-27 00:00:00-05:00,5.3,5.8944,5.345,-0.5,0.0,,15765185
2012-11-28 00:00:00-05:00,5.8,5.9488,5.343999999999999,-0.2,0.4,,15765185
2012-11-29 00:00:00-05:00,5.0,5.8956,5.007,-0.9,0.0,,15765185
2012-11-30 00:00:00-05:00,5.2,6.9736,6.766,-1.7,-1.5,,15765185
2012-12-02 00:00:00-05:00,8.3,8.4764,8.336,-0.1,0.0,,15765185
2012-12-03 00:00:00-05:00,10.1,7.8804,7.355,2.2,2.7,,15765185
2012-12-04 00:00:00-05:00,11.6,8.5234,7.81,3.1,3.8,,15765185
2012-12-05 00:00:00-05:00,10.4,8.1412,7.444,2.3,3.0,,15765185
2012-12-06 00:00:00-05:00,6.0,6.3846,6.024,-0.4,0.0,,15765185
2012-12-07 00:00:00-05:00,6.3,5.575,5.693,0.7,0.6,,15765185
2012-12-08 00:00:00-05:00,8.9,6.502000000000001,5.9639999999999995,2.4,2.9,,15765185
2012-12-09 00:00:00-05:00,9.4,6.5336,6.228,2.9,3.2,,15765185
2012-12-10 00:00:00-05:00,,6.0022,5.099,3.8,4.7,Difference between daily mean and historical mean or median greater than 4 degrees,15765185
2012-12-11 00:00:00-05:00,9.2,5.5056,5.356,3.7,3.8,,15765185
2012-12-12 00:00:00-05:00,6.5,5.2516,4.937,1.2,1.6,,15765185
2012-12-13 00:00:00-05:00,5.5,6.1398,5.524,-0.6,0.0,,15765185
2012-12-14 00:00:00-05:00,4.6,6.4492,4.611000000000001,-1.8,0.0,,15765185
2012-12-15 00:00:00-05:00,5.2,6.2408,5.178999999999999,-1.1,0.0,,15765185
2012-12-16 00:00:00-05:00,7.7,6.0052,7.398,1.7,0.3,,15765185
2012-12-17 00:00:00-05:00,,5.5697,4.897,3.4,4.1,Difference between daily mean and historical mean or median greater than 4 degrees,15765185
2012-12-18 00:00:00-05:00,8.8,5.3587,4.843,3.4,3.9,,15765185
2012-12-19 00:00:00-05:00,7.0,5.242999999999999,4.897,1.7,2.1,,15765185
2012-12-20 00:00:00-05:00,6.2,4.8586,4.166,1.4,2.1,,15765185
2012-12-21 00:00:00-05:00,7.8,5.787000000000001,5.412999999999999,2.0,2.4,,15765185
2012-12-22 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-12-23 00:00:00-05:00,4.5,6.8202,6.689,-2.3,-2.2,,15765185
2012-12-24 00:00:00-05:00,3.5,6.7946,4.612,-3.3,-1.1,,15765185
2012-12-25 00:00:00-05:00,3.4,6.5786,5.018,-3.2,-1.6,,15765185
2012-12-26 00:00:00-05:00,3.5,6.2976,4.986000000000001,-2.8,-1.5,,15765185
2012-12-27 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-12-28 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-12-29 00:00:00-05:00,3.3,5.6326,5.154,-2.3,-1.8,,15765185
2012-12-30 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2012-12-31 00:00:00-05:00,2.6,,,,,"No historical value, assume good",15765185
2013-01-01 00:00:00-05:00,2.7,4.5716,2.9019999999999997,-1.8,-0.2,,15765185
2013-01-02 00:00:00-05:00,2.7,4.474,4.412,-1.8,-1.7,,15765185
2013-01-03 00:00:00-05:00,2.1,3.4434,3.2939999999999996,-1.3,-1.2,,15765185
2013-01-04 00:00:00-05:00,1.7,3.9738,5.46,-2.2,-3.7,,15765185
2013-01-05 00:00:00-05:00,1.6,3.7176,3.7910000000000004,-2.1,-2.2,,15765185
2013-01-06 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2013-01-07 00:00:00-05:00,2.0,1.4659,1.604,0.5,0.4,,15765185
2013-01-08 00:00:00-05:00,2.1,1.7494,1.955,0.3,0.1,,15765185
2013-01-09 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2013-01-10 00:00:00-05:00,2.1,3.5543,3.327,-1.4,-1.2,,15765185
2013-01-11 00:00:00-05:00,2.8,3.3092,2.759,-0.6,0.0,,15765185
2013-01-12 00:00:00-05:00,5.3,4.0024,4.488,1.3,0.8,,15765185
2013-01-13 00:00:00-05:00,5.7,4.9852,5.657,0.7,0.0,,15765185
2013-01-14 00:00:00-05:00,6.7,4.9254,6.745,1.8,0.0,,15765185
2013-01-15 00:00:00-05:00,7.0,4.8636,4.018,2.2,3.0,,15765185
2013-01-16 00:00:00-05:00,5.4,4.5716,5.252000000000001,0.8,0.1,,15765185
2013-01-17 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2013-01-18 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2013-01-19 00:00:00-05:00,,,,,,Not enough instantaneous values to compute the daily mean,15765185
2013-01-20 00:00:00-05:00,5.9,4.5259,5.247000000000001,1.3,0.6,,15765185
2013-01-21 00:00:00-05:00,4.3,3.3212,2.915,1.0,1.4,,15765185
