datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2008-10-01 00:00:00-05:00,2008-10-01 00:00:00,,,015765185,,,,,0.46,A,,,,,,,2008-10-01 00:00:00-05:00
2008-10-02 00:00:00-05:00,2008-10-02 00:00:00,,,015765185,,,,,0.37,A,,,,,,,2008-10-02 00:00:00-05:00
2008-10-03 00:00:00-05:00,2008-10-03 00:00:00,,,015765185,,,,,0.35,A,,,,,,,2008-10-03 00:00:00-05:00
2008-10-04 00:00:00-05:00,2008-10-04 00:00:00,,,015765185,,,,,0.34,A,,,,,,,2008-10-04 00:00:00-05:00
2008-10-05 00:00:00-05:00,2008-10-05 00:00:00,,,015765185,,,,,0.33,A,,,,,,,2008-10-05 00:00:00-05:00
2008-10-06 00:00:00-05:00,2008-10-06 00:00:00,,,015765185,,,,,0.33,A,,,,,,,2008-10-06 00:00:00-05:00
2008-10-07 00:00:00-05:00,2008-10-07 00:00:00,,,015765185,,,,,0.34,A,,,,,,,2008-10-07 00:00:00-05:00
2008-10-08 00:00:00-05:00,2008-10-08 00:00:00,,,015765185,,,,,0.34,A,,,,,,,2008-10-08 00:00:00-05:00
2008-10-09 00:00:00-05:00,2008-10-09 00:00:00,,,015765185,,,,,0.26,A,,,,,,,2008-10-09 00:00:00-05:00
2008-10-10 00:00:00-05:00,2008-10-10 00:00:00,,,015765185,,,,,0.22,A,,,,,,,2008-10-10 00:00:00-05:00
2008-10-11 00:00:00-05:00,2008-10-11 00:00:00,,,015765185,,,,,0.21,A,,,,,,,2008-10-11 00:00:00-05:00
2008-10-12 00:00:00-05:00,2008-10-12 00:00:00,,,015765185,,,,,0.2,A,,,,,,,2008-10-12 00:00:00-05:00
2008-10-13 00:00:00-05:00,2008-10-13 00:00:00,,,015765185,,,,,0.2,A,,,,,,,2008-10-13 00:00:00-05:00
2008-10-14 00:00:00-05:00,2008-10-14 00:00:00,,,015765185,,,,,0.21,A,,,,,,,2008-10-14 00:00:00-05:00
2008-10-15 00:00:00-05:00,2008-10-15 00:00:00,,,015765185,,,,,0.19,A,,,,,,,2008-10-15 00:00:00-05:00
2008-10-16 00:00:00-05:00,2008-10-16 00:00:00,,,015765185,,,,,0.18,A,,,,,,,2008-10-16 00:00:00-05:00
2008-10-17 00:00:00-05:00,2008-10-17 00:00:00,,,015765185,,,,,0.16,A,,,,,,,2008-10-17 00:00:00-05:00
2008-10-18 00:00:00-05:00,2008-10-18 00:00:00,,,015765185,,,,,0.17,A,,,,,,,2008-10-18 00:00:00-05:00
2008-10-19 00:00:00-05:00,2008-10-19 00:00:00,,,015765185,,,,,0.17,A,,,,,,,2008-10-19 00:00:00-05:00
2008-10-20 00:00:00-05:00,2008-10-20 00:00:00,,,015765185,,,,,0.17,A,,,,,,,2008-10-20 00:00:00-05:00
2008-10-21 00:00:00-05:00,2008-10-21 00:00:00,,,015765185,,,,,0.17,A,,,,,,,2008-10-21 00:00:00-05:00
2008-10-22 00:00:00-05:00,2008-10-22 00:00:00,,,015765185,,,,,0.16,A,,,,,,,2008-10-22 00:00:00-05:00
2008-10-23 00:00:00-05:00,2008-10-23 00:00:00,,,015765185,,,,,0.16,A,,,,,,,2008-10-23 00:00:00-05:00
2008-10-24 00:00:00-05:00,2008-10-24 00:00:00,,,015765185,,,,,0.18,A,,,,,,,2008-10-24 00:00:00-05:00
2008-10-25 00:00:00-05:00,2008-10-25 00:00:00,,,015765185,,,,,3.71,A,,,,,,,2008-10-25 00:00:00-05:00
2008-10-26 00:00:00-05:00,2008-10-26 00:00:00,,,015765185,,,,,0.8,A,,,,,,,2008-10-26 00:00:00-05:00
2008-10-27 00:00:00-05:00,2008-10-27 00:00:00,,,015765185,,,,,0.54,A,,,,,,,2008-10-27 00:00:00-05:00
2008-10-28 00:00:00-05:00,2008-10-28 00:00:00,,,015765185,,,,,3.94,A,,,,,,,2008-10-28 00:00:00-05:00
2008-10-29 00:00:00-05:00,2008-10-29 00:00:00,,,015765185,,,,,0.72,A,,,,,,,2008-10-29 00:00:00-05:00
2008-10-30 00:00:00-05:00,2008-10-30 00:00:00,,,015765185,,,,,0.52,A,,,,,,,2008-10-30 00:00:00-05:00
2008-10-31 00:00:00-05:00,2008-10-31 00:00:00,,,015765185,,,,,0.46,A,,,,,,,2008-10-31 00:00:00-05:00
2008-11-01 00:00:00-05:00,2008-11-01 00:00:00,,,015765185,,,,,0.43,A,,,,,,,2008-11-01 00:00:00-05:00
2008-11-02 00:00:00-05:00,2008-11-02 00:00:00,,,015765185,,,,,0.4,A,,,,,,,2008-11-02 00:00:00-05:00
2008-11-03 00:00:00-05:00,2008-11-03 00:00:00,,,015765185,,,,,0.39,A,,,,,,,2008-11-03 00:00:00-05:00
2008-11-04 00:00:00-05:00,2008-11-04 00:00:00,,,015765185,,,,,0.39,A,,,,,,,2008-11-04 00:00:00-05:00
2008-11-05 00:00:00-05:00,2008-11-05 00:00:00,,,015765185,,,,,0.41,A,,,,,,,2008-11-05 00:00:00-05:00
2008-11-06 00:00:00-05:00,2008-11-06 00:00:00,,,015765185,,,,,0.47,A,,,,,,,2008-11-06 00:00:00-05:00
2008-11-07 00:00:00-05:00,2008-11-07 00:00:00,,,015765185,,,,,0.37,A,,,,,,,2008-11-07 00:00:00-05:00
2008-11-08 00:00:00-05:00,2008-11-08 00:00:00,,,015765185,,,,,0.35,A,,,,,,,2008-11-08 00:00:00-05:00
2008-11-09 00:00:00-05:00,2008-11-09 00:00:00,,,015765185,,,,,0.33,A,,,,,,,2008-11-09 00:00:00-05:00
2008-11-10 00:00:00-05:00,2008-11-10 00:00:00,,,015765185,,,,,0.32,A,,,,,,,2008-11-10 00:00:00-05:00
2008-11-11 00:00:00-05:00,2008-11-11 00:00:00,,,015765185,,,,,0.31,A,,,,,,,2008-11-11 00:00:00-05:00
2008-11-12 00:00:00-05:00,2008-11-12 00:00:00,,,015765185,,,,,0.34,A,,,,,,,2008-11-12 00:00:00-05:00
2008-11-13 00:00:00-05:00,2008-11-13 00:00:00,,,015765185,,,,,1.62,A,,,,,,,2008-11-13 00:00:00-05:00
2008-11-14 00:00:00-05:00,2008-11-14 00:00:00,,,015765185,,,,,0.46,A,,,,,,,2008-11-14 00:00:00-05:00
2008-11-15 00:00:00-05:00,2008-11-15 00:00:00,,,015765185,,,,,3.34,A,,,,,,,2008-11-15 00:00:00-05:00
