datetime,datetime_str,00010_Maximum,00010_Maximum_cd,site_no,00010_Minimum,00010_Minimum_cd,00010_Mean,00010_Mean_cd,00060_Mean,00060_Mean_cd,00095_Maximum,00095_Maximum_cd,00095_Minimum,00095_Minimum_cd,00095_Mean,00095_Mean_cd,63680_Maximum,63680_Maximum_cd,63680_Minimum,63680_Minimum_cd,63680_Mean,63680_Mean_cd,datetime
2008-10-01 00:00:00-05:00,2008-10-01 00:00:00,,,015765195,,,,,1.34,"A, e",,,,,,,,,,,,,2008-10-01 00:00:00-05:00
2008-10-02 00:00:00-05:00,2008-10-02 00:00:00,,,015765195,,,,,1.25,"A, e",,,,,,,,,,,,,2008-10-02 00:00:00-05:00
2008-10-03 00:00:00-05:00,2008-10-03 00:00:00,,,015765195,,,,,1.19,"A, e",,,,,,,,,,,,,2008-10-03 00:00:00-05:00
2008-10-04 00:00:00-05:00,2008-10-04 00:00:00,,,015765195,,,,,1.17,"A, e",,,,,,,,,,,,,2008-10-04 00:00:00-05:00
2008-10-05 00:00:00-05:00,2008-10-05 00:00:00,,,015765195,,,,,1.15,"A, e",,,,,,,,,,,,,2008-10-05 00:00:00-05:00
2008-10-06 00:00:00-05:00,2008-10-06 00:00:00,,,015765195,,,,,1.16,"A, e",,,,,,,,,,,,,2008-10-06 00:00:00-05:00
2008-10-07 00:00:00-05:00,2008-10-07 00:00:00,,,015765195,,,,,1.17,"A, e",,,,,,,,,,,,,2008-10-07 00:00:00-05:00
2008-10-08 00:00:00-05:00,2008-10-08 00:00:00,,,015765195,,,,,1.15,"A, e",,,,,,,,,,,,,2008-10-08 00:00:00-05:00
2008-10-09 00:00:00-05:00,2008-10-09 00:00:00,,,015765195,,,,,1.06,"A, e",,,,,,,,,,,,,2008-10-09 00:00:00-05:00
2008-10-10 00:00:00-05:00,2008-10-10 00:00:00,,,015765195,,,,,1.03,"A, e",,,,,,,,,,,,,2008-10-10 00:00:00-05:00
2008-10-11 00:00:00-05:00,2008-10-11 00:00:00,,,015765195,,,,,1.01,"A, e",,,,,,,,,,,,,2008-10-11 00:00:00-05:00
